geo_id,address_id,name,store_id
1,1,MongoMart Leominster,1
2,2,MongoMart - Auburn Mall,2
3,3,MongoMart Framingham,3
4,4,MongoMart - South Shore Plaza,4
5,5,MongoMart Braintree,5
6,6,MongoMart Cape Cod,6
7,7,MongoMart Attleboro,7
8,8,MongoMart Manchester,8
9,9,MongoMart Lebanon,9
10,10,MongoMart Portland,10
11,11,MongoMart Auburn,11
12,12,MongoMart Meriden,12
13,13,MongoMart - Meriden Mall,13
14,14,MongoMart Orange,14
15,15,MongoMart - Trumbull Shopping Park,15
16,16,MongoMart West Paterson,16
17,17,MongoMart Howell,17
18,18,MongoMart East Hanover,18
19,19,MongoMart Mount Laurel,19
20,20,MongoMart - Hawthorn Mall,20
21,21,MongoMart Bloomingdale,21
22,22,MongoMart Illinois Tollway - DeKalb Oasis,22
23,23,MongoMart - Fox Valley Center,23
24,24,MongoMart Kankakee,24
25,25,MongoMart Connecticut Turnpike - Milford Southbound,25
26,26,MongoMart - Cumberland Mall,26
27,27,MongoMart East Brunswick,27
28,28,MongoMart Upper West Side (62nd and Broadway),28
29,29,MongoMart - Galleria at Crystal Run,29
30,30,MongoMart Long Island City,30
31,31,MongoMart - Green Acres Mall,31
32,32,MongoMart - Sunrise Mall,32
33,33,MongoMart Riverhead,33
34,34,MongoMart - Crossgates Mall,34
35,35,MongoMart - Hudson Valley Mall,35
36,36,MongoMart - Poughkeepsie Galleria,36
37,37,MongoMart - Destiny USA,37
38,38,MongoMart Middletown,38
39,39,MongoMart Watertown,39
40,40,MongoMart BUF - Buffalo Niagara International,40
41,41,MongoMart Henrietta,41
42,42,MongoMart So. Hills,42
43,43,MongoMart Monroeville,43
44,44,MongoMart - Millcreek Mall,44
45,45,MongoMart Muncy,45
46,46,MongoMart Pottstown,46
47,47,MongoMart Concord Pike,47
48,48,MongoMart Union Station - Washington D.C.,48
49,49,MongoMart - St Charles Towne Center,49
50,50,MongoMart Laurel,50
51,51,MongoMart Bowie,51
52,52,MongoMart - Westfield Montgomery,52
53,53,MongoMart - The Mall in Columbia,53
54,54,MongoMart - Valley Mall,54
55,55,MongoMart Baileys Crossroads,55
56,56,MongoMart Springfield,56
57,57,MongoMart Winchester,57
58,58,MongoMart Princess Anne,58
59,59,MongoMart - Southpark Mall,59
60,60,MongoMart Gastonia,60
61,61,MongoMart - Cross Creek Mall,61
62,62,MongoMart Alpharetta,62
63,63,MongoMart Acworth,63
64,64,MongoMart Douglasville,64
65,65,MongoMart ATL - Hartsfield Jackson Atlanta International Airport,65
66,66,MongoMart Buckhead,66
67,67,MongoMart Gainesville,67
68,68,MongoMart - Georgia Square Mall,68
69,69,MongoMart - Augusta Mall ,69
70,70,MongoMart The Avenues,70
71,71,MongoMart Panama City,71
72,72,MongoMart Destin,72
73,73,MongoMart MCO - Orlando International Airport,73
74,74,MongoMart MCO - Orlando International Airport,74
75,75,MongoMart MCO - Orlando International Airport,75
76,76,MongoMart MCO - Orlando International Airport,76
77,77,MongoMart - Melbourne Square Mall,77
78,78,MongoMart - Indian River Mall,78
79,79,MongoMart - 18 Biscayne,79
80,80,MongoMart FLL - Fort Lauderdale-Hollywood International Airport,80
81,81,MongoMart - Sawgrass Mills West,81
82,82,MongoMart Davie,82
83,83,MongoMart Wellington,83
84,84,MongoMart - Town Center at Boca Raton,84
85,85,MongoMart So. Tampa,85
86,86,MongoMart Davenport,86
87,87,MongoMart - Treasure Coast Square,87
88,88,MongoMart Alabaster,88
89,89,MongoMart Prattville,89
90,90,MongoMart Rivergate,90
91,91,MongoMart Chattanooga,91
92,92,MongoMart Meridian,92
93,93,MongoMart Gulfport,93
94,94,MongoMart Winchester Rd,94
95,95,MongoMart Elizabethtown,95
96,96,MongoMart CMH - Port Columbus International Airport,96
97,97,MongoMart CLE - Cleveland Hopkins International Airport,97
98,98,MongoMart Sandusky,98
99,99,MongoMart IND - Indianapolis International Airport,99
100,100,MongoMart Highland,100
101,101,MongoMart Valparaiso,101
102,102,MongoMart Port Huron,102
103,103,MongoMart - Briarwood Mall ,103
104,104,MongoMart Dearborn,104
105,105,MongoMart Battle Creek,105
106,106,MongoMart Benton Harbor,106
107,107,MongoMart Jackson,107
108,108,MongoMart Grand Rapids,108
109,109,MongoMart Grand Rapids,109
110,110,MongoMart Fox Point,110
111,111,MongoMart BTV - Burlington International Airport,111
112,112,MongoMart Stevens Point,112
113,113,MongoMart Appleton West,113
114,114,MongoMart Appleton East,114
115,115,MongoMart Fond Du Lac,115
116,116,MongoMart Lake Geneva,116
